DATE,PRCP,SNOW,SNWD,TMIN,TMAX
2018-01-01,0,0,0,7,19
2018-01-02,0,0,0,13,26
2018-01-03,0,0,0,16,30
2018-01-04,0.76,9.8,1.2,19,29
2018-01-05,0,0,7.1,9,19
2018-01-06,0,0,5.9,6,13
2018-01-07,0,0,5.9,5,18
2018-01-08,0.01,0,5.1,17,31
2018-01-09,0,0,5.1,30,44
2018-01-10,0,0,3.9,30,43
2018-01-11,0,0,3.1,41,53
2018-01-12,0.54,0,0,44,61
2018-01-13,0.05,0,0,19,58
2018-01-14,0,0,0,15,25
2018-01-15,0,0,0,16,30
2018-01-16,0,0,0,25,36
2018-01-17,0.19,0.4,0,22,36
2018-01-18,0,0,0,18,32
2018-01-19,0,0,0,24,41
2018-01-20,0,0,0,38,52
2018-01-21,0,0,0,42,50
2018-01-22,0.01,0,0,38,49
2018-01-23,0.3,0,0,38,60
2018-01-24,0,0,0,27,44
2018-01-25,0,0,0,23,34
2018-01-26,0,0,0,26,38
2018-01-27,0,0,0,35,56
2018-01-28,0.21,0,0,46,55
2018-01-29,0,0.1,0,35,47
2018-01-30,0.11,0.9,0,24,36
2018-01-31,0,0,0,18,33
2018-02-01,0.05,0,0,32,45
2018-02-02,0.18,0,0,17,41
2018-02-03,0,0,0,16,31
2018-02-04,0.96,0,0,30,46
2018-02-05,0,0,0,26,40
2018-02-06,0,0,0,26,37
2018-02-07,0.85,0.5,0,30,45
2018-02-08,0,0,0,25,33
2018-02-09,0,0,0,26,39
2018-02-10,0.58,0,0,39,50
2018-02-11,1.21,0,0,45,62
2018-02-12,0,0,0,32,62
2018-02-13,0,0,0,26,38
2018-02-14,0.08,0,0,35,53
2018-02-15,0.16,0,0,46,62
2018-02-16,0.09,0,0,36,58
2018-02-17,0.52,4.4,0,28,40
2018-02-18,0.01,0,3.1,33,44
2018-02-19,0.04,0,0,36,49
2018-02-20,0,0,0,47,67
2018-02-21,0.06,0,0,55,78
2018-02-22,0.17,0,0,37,59
2018-02-23,0.06,0,0,36,42
2018-02-24,0.08,0,0,42,55
2018-02-25,0.73,0,0,40,44
2018-02-26,0,0,0,43,52
2018-02-27,0,0,0,39,56
2018-02-28,0,0,0,42,61
2018-03-01,0.38,0,0,44,60
2018-03-02,1.86,0,0,34,44
2018-03-03,0,0,0,36,49
2018-03-04,0,0,0,34,44
2018-03-05,0,0,0,33,43
2018-03-06,0,0,0,32,47
2018-03-07,1.41,3.2,0,33,39
2018-03-08,0,0,3.1,33,39
2018-03-09,0,0,2,30,42
2018-03-10,0,0,0,31,40
2018-03-11,0,0,0,32,45
2018-03-12,0.08,0,0,32,43
2018-03-13,0.28,0,0,33,40
2018-03-14,0.01,0,0,31,41
2018-03-15,0,0,0,32,48
2018-03-16,0,0,0,30,40
2018-03-17,0,0,0,27,48
2018-03-18,0,0,0,28,43
2018-03-19,0,0,0,33,47
2018-03-20,0,0,0,30,39
2018-03-21,0.99,8.2,0,31,39
2018-03-22,0.06,0.2,7.9,32,50
2018-03-23,0,0,1.2,35,49
2018-03-24,0,0,0,35,51
2018-03-25,0,0,0,33,45
2018-03-26,0,0,0,34,50
2018-03-27,0.01,0,0,34,47
2018-03-28,0.03,0,0,38,52
2018-03-29,0.03,0,0,49,53
2018-03-30,0.03,0,0,44,62
2018-03-31,0,0,0,39,58
2018-04-01,0,0,0,43,60
2018-04-02,0.59,5.5,5.1,33,43
2018-04-03,0.26,0,0,39,43
2018-04-04,0.04,0,0,40,56
2018-04-05,0,0,0,34,45
2018-04-06,0.11,0,0,37,62
2018-04-07,0,0,0,37,49
2018-04-08,0,0,0,32,46
2018-04-09,0,0,0,32,49
2018-04-10,0.01,0,0,38,51
2018-04-11,0,0,0,37,51
2018-04-12,0,0,0,46,63
2018-04-13,0,0,0,60,82
2018-04-14,0,0,0,44,77
2018-04-15,0.47,0,0,38,44
2018-04-16,2.82,0,0,39,60
2018-04-17,0,0,0,39,47
2018-04-18,0,0,0,37,55
2018-04-19,0.15,0,0,38,49
2018-04-20,0,0,0,37,50
2018-04-21,0,0,0,39,63
2018-04-22,0,0,0,44,67
2018-04-23,0,0,0,46,68
2018-04-24,0.05,0,0,46,66
2018-04-25,0.95,0,0,52,60
2018-04-26,0.1,0,0,55,70
2018-04-27,0.05,0,0,51,59
2018-04-28,0.1,0,0,50,68
2018-04-29,0.08,0,0,47,59
2018-04-30,0,0,0,44,51
2018-05-01,0,0,0,48,80
2018-05-02,0,0,0,65,90
2018-05-03,0.02,0,0,70,92
2018-05-04,0,0,0,72,84
2018-05-05,0,0,0,61,76
2018-05-06,0,0,0,56,66
2018-05-07,0,0,0,54,77
2018-05-08,0,0,0,53,74
2018-05-09,0,0,0,54,77
2018-05-10,0.25,0,0,54,66
2018-05-11,0,0,0,60,73
2018-05-12,0.22,0,0,51,63
2018-05-13,0.1,0,0,52,54
2018-05-14,0.03,0,0,52,71
2018-05-15,0.58,0,0,61,88
2018-05-16,0.34,0,0,56,64
2018-05-17,0.22,0,0,56,71
2018-05-18,0,0,0,56,67
2018-05-19,0.65,0,0,49,56
2018-05-20,0,0,0,56,81
2018-05-21,0,0,0,58,79
2018-05-22,0.29,0,0,55,68
2018-05-23,0.29,0,0,59,81
2018-05-24,0,0,0,63,83
2018-05-25,0,0,0,65,86
2018-05-26,0,0,0,72,89
2018-05-27,0.44,0,0,56,80
2018-05-28,0,0,0,56,69
2018-05-29,0,0,0,63,89
2018-05-30,0,0,0,61,78
2018-05-31,0.1,0,0,63,68
2018-06-01,0.27,0,0,65,81
2018-06-02,0.08,0,0,66,87
2018-06-03,0.25,0,0,51,66
2018-06-04,0.16,0,0,51,71
2018-06-05,0,0,0,58,75
2018-06-06,0,0,0,58,71
2018-06-07,0,0,0,60,71
2018-06-08,0,0,0,60,82
2018-06-09,0,0,0,67,83
2018-06-10,0.01,0,0,58,73
2018-06-11,0,0,0,58,73
2018-06-12,0,0,0,57,75
2018-06-13,0.04,0,0,63,78
2018-06-14,0,0,0,67,84
2018-06-15,0,0,0,63,76
2018-06-16,0,0,0,64,85
2018-06-17,0,0,0,66,91
2018-06-18,0.08,0,0,73,91
2018-06-19,0.07,0,0,75,88
2018-06-20,0.09,0,0,69,83
2018-06-21,0.59,0,0,65,83
2018-06-22,0.1,0,0,62,75
2018-06-23,0,0,0,62,66
2018-06-24,0,0,0,66,84
2018-06-25,0,0,0,67,81
2018-06-26,0,0,0,61,78
2018-06-27,0.01,0,0,66,73
2018-06-28,1.36,0,0,70,83
2018-06-29,0,0,0,70,89
2018-06-30,0,0,0,72,93
2018-07-01,0,0,0,79,96
2018-07-02,0,0,0,79,95
2018-07-03,0.01,0,0,77,92
2018-07-04,0,0,0,77,86
2018-07-05,0,0,0,76,90
2018-07-06,0.23,0,0,69,80
2018-07-07,0,0,0,62,78
2018-07-08,0,0,0,62,84
2018-07-09,0,0,0,67,87
2018-07-10,0,0,0,72,93
2018-07-11,0,0,0,74,88
2018-07-12,0.71,0,0,64,84
2018-07-13,0,0,0,68,84
2018-07-14,0.36,0,0,70,88
2018-07-15,0.64,0,0,69,83
2018-07-16,0,0,0,75,90
2018-07-17,2.24,0,0,70,88
2018-07-18,0,0,0,66,85
2018-07-19,0,0,0,66,83
2018-07-20,0,0,0,69,82
2018-07-21,0.63,0,0,65,79
2018-07-22,1.06,0,0,70,79
2018-07-23,0.17,0,0,73,80
2018-07-24,0.02,0,0,75,82
2018-07-25,0.73,0,0,72,77
2018-07-26,0.03,0,0,72,85
2018-07-27,0.25,0,0,68,86
2018-07-28,0,0,0,70,85
2018-07-29,0,0,0,70,82
2018-07-30,0.37,0,0,68,78
2018-07-31,0,0,0,68,82
2018-08-01,0.1,0,0,74,84
2018-08-02,0.51,0,0,76,86
2018-08-03,0.24,0,0,73,85
2018-08-04,0.74,0,0,72,84
2018-08-05,0,0,0,73,91
2018-08-06,0,0,0,77,92
2018-08-07,0.05,0,0,74,90
2018-08-08,0,0,0,76,90
2018-08-09,0.61,0,0,73,86
2018-08-10,0,0,0,72,86
2018-08-11,2.9,0,0,70,80
2018-08-12,0,0,0,72,84
2018-08-13,0.66,0,0,71,75
2018-08-14,0.79,0,0,71,82
2018-08-15,0,0,0,70,86
2018-08-16,0,0,0,76,88
2018-08-17,1.04,0,0,72,87
2018-08-18,0.07,0,0,71,85
2018-08-19,0.02,0,0,67,72
2018-08-20,0,0,0,67,74
2018-08-21,0.11,0,0,66,79
2018-08-22,0.72,0,0,71,82
2018-08-23,0,0,0,65,77
2018-08-24,0,0,0,65,82
2018-08-25,0,0,0,68,80
2018-08-26,0,0,0,69,83
2018-08-27,0,0,0,74,88
2018-08-28,0,0,0,79,94
2018-08-29,0,0,0,81,92
2018-08-30,0,0,0,78,90
2018-08-31,0.03,0,0,69,78
2018-09-01,0,0,0,69,78
2018-09-02,0,0,0,68,81
2018-09-03,0,0,0,75,90
2018-09-04,0,0,0,77,92
2018-09-05,0,0,0,77,89
2018-09-06,0.36,0,0,73,93
2018-09-07,0,0,0,69,75
2018-09-08,0.02,0,0,61,71
2018-09-09,0.45,0,0,55,62
2018-09-10,0.93,0,0,54,64
2018-09-11,0.02,0,0,62,74
2018-09-12,0.15,0,0,71,77
2018-09-13,0.13,0,0,69,76
2018-09-14,0,0,0,68,75
2018-09-15,0,0,0,67,80
2018-09-16,0,0,0,67,84
2018-09-17,0.01,0,0,68,79
2018-09-18,1.19,0,0,70,79
2018-09-19,0,0,0,68,81
2018-09-20,0,0,0,65,72
2018-09-21,0,0,0,67,72
2018-09-22,0,0,0,62,74
2018-09-23,0,0,0,60,66
2018-09-24,0,0,0,57,69
2018-09-25,1.95,0,0,59,73
2018-09-26,0.21,0,0,69,82
2018-09-27,0,0,0,61,72
2018-09-28,0.77,0,0,56,65
2018-09-29,0,0,0,58,72
2018-09-30,0,0,0,54,70
2018-10-01,0,0,0,63,76
2018-10-02,0.69,0,0,65,77
2018-10-03,0,0,0,63,74
2018-10-04,0.04,0,0,61,76
2018-10-05,0,0,0,60,71
2018-10-06,0,0,0,63,68
2018-10-07,0,0,0,67,79
2018-10-08,0,0,0,64,74
2018-10-09,0,0,0,66,77
2018-10-10,0,0,0,71,80
2018-10-11,0.84,0,0,69,77
2018-10-12,0.43,0,0,51,68
2018-10-13,0.1,0,0,46,55
2018-10-14,0,0,0,47,58
2018-10-15,0.05,0,0,52,68
2018-10-16,0.01,0,0,47,60
2018-10-17,0,0,0,46,61
2018-10-18,0,0,0,42,50
2018-10-19,0,0,0,43,60
2018-10-20,0.06,0,0,51,62
2018-10-21,0,0,0,39,51
2018-10-22,0,0,0,39,50
2018-10-23,0,0,0,49,63
2018-10-24,0,0,0,44,54
2018-10-25,0,0,0,40,51
2018-10-26,0,0,0,38,50
2018-10-27,1.27,0,0,44,51
2018-10-28,0.07,0,0,45,52
2018-10-29,0.03,0,0,47,56
2018-10-30,0,0,0,42,55
2018-10-31,0,0,0,44,64
2018-11-01,0,0,0,57,70
2018-11-02,0.22,0,0,64,72
2018-11-03,0.37,0,0,48,65
2018-11-04,0,0,0,43,55
2018-11-05,0.3,0,0,48,53
2018-11-06,0.68,0,0,49,59
2018-11-07,0,0,0,51,62
2018-11-08,0,0,0,45,56
2018-11-09,0.77,0,0,40,52
2018-11-10,0.03,0,0,34,50
2018-11-11,0,0,0,33,46
2018-11-12,0.04,0,0,37,49
2018-11-13,1.06,0,0,43,50
2018-11-14,0,0,0,32,43
2018-11-15,1.16,6.4,0,28,40
2018-11-16,0.31,0,3.9,34,45
2018-11-17,0,0,2,37,47
2018-11-18,0,0,0,39,44
2018-11-19,0,0,0,41,50
2018-11-20,0,0,0,39,47
2018-11-21,0,0,0,27,44
2018-11-22,0,0,0,17,28
2018-11-23,0,0,0,15,32
2018-11-24,0.97,0,0,31,49
2018-11-25,0.81,0,0,45,55
2018-11-26,0.85,0,0,45,53
2018-11-27,0.03,0,0,37,45
2018-11-28,0,0,0,36,42
2018-11-29,0,0,0,38,46
2018-11-30,0.02,0,0,38,43
2018-12-01,0.05,0,0,36,46
2018-12-02,0.59,0,0,42,56
2018-12-03,0,0,0,46,55
2018-12-04,0,0,0,31,46
2018-12-05,0,0,0,28,37
2018-12-06,0,0,0,30,40
2018-12-07,0,0,0,28,39
2018-12-08,0,0,0,24,36
2018-12-09,0,0,0,28,36
2018-12-10,0,0,0,29,39
2018-12-11,0,0,0,29,41
2018-12-12,0,0,0,33,41
2018-12-13,0.03,0,0,33,40
2018-12-14,0.1,0,0,40,51
2018-12-15,0.14,0,0,46,52
2018-12-16,1.43,0,0,35,46
2018-12-17,0.03,0,0,37,46
2018-12-18,0,0,0,28,40
2018-12-19,0,0,0,26,42
2018-12-20,0.22,0,0,37,47
2018-12-21,1.61,0,0,47,61
2018-12-22,0.02,0,0,40,54
2018-12-23,0,0,0,36,43
2018-12-24,0.12,0,0,36,43
2018-12-25,0,0,0,33,40
2018-12-26,0,0,0,32,43
2018-12-27,0,0,0,37,44
2018-12-28,1.15,0,0,43,60
2018-12-29,0,0,0,39,57
2018-12-30,0,0,0,33,40
2018-12-31,1.02,0,0,36,48
2019-01-01,0.06,0,0,39,58
